Title ID,Title Type,Title Name,Year of first publication
T150,short story,Jane in Search of a Job,
T313,short story,Magnolia Blossom,
T55,short story,Manx Gold,
T105,short story,Miss Marple Tells a Story,
T35,short story,Motive v. Opportunity,
T183,short story,Mr. Eastwood's Adventure (The Mystery of the Spanish Shawl),
T116,short story,Murder in the Mews (novella),
T61,short story,Next to a Dog,
T180,short story,Philomel Cottage,
T124,short story,Problem at Pollensa Bay,
T164,short story,Problem at Sea,
T85,short story,S.O.S.,
T115,short story,Sanctuary,
T181,short story,Sing a Song of Sixpence,
T65,short story,Strange Jest,
T154,short story,Swan Song,
T202,short story,Tape-Measure Murder,
T66,short story,The Actress,
T168,short story,The Adventure of Johnnie Waverly,
T43,short story,The Adventure of the Cheap Flat,
T234,short story,The Adventure of the Christmas Pudding (The Theft of the Royal Ruby),
T163,short story,The Adventure of the Clapham Cook,
T41,short story,The Adventure of the Egyptian Tomb,
T26,short story,The Adventure of the Italian Nobleman,
T56,short story,The Adventure of the Sinister Stranger,
T44,short story,The Adventure of the Western Star,
T28,short story,The Affair at the Bungalow,
T157,short story,The Affair at the Victory Ball,
T102,short story,The Affair of the Pink Pearl,
T122,short story,The Ambassador's Boots,
T23,short story,The Apples of Hesperides,
T16,short story,The Arcadian Deer,
T18,short story,The Augean Stables,
T97,short story,The Bird with the Broken Wing,
T34,short story,The Bloodstained Pavement,
T37,short story,The Blue Geranium,
T83,short story,The Call of Wings,
T24,short story,The Capture of Cerberus,
T203,short story,The Case of the Caretaker,
T187,short story,The Case of the City Clerk,
T184,short story,The Case of the Discontented Husband,
T172,short story,The Case of the Discontented Soldier,
T173,short story,The Case of the Distressed Lady,
T101,short story,The Case of the Middle-Aged Wife,
T58,short story,The Case of the Missing Lady,
T27,short story,The Case of the Missing Will,
T201,short story,The Case of the Perfect Maid,
T312,short story,The Case of the Rich Woman,
T47,short story,The Chocolate Box,
T121,short story,The Clergyman's Daughter,
T88,short story,The Coming of Mr. Quin,
T38,short story,The Companion,
T161,short story,The Cornish Mystery,
T108,short story,The Crackler,
T06,short story,The Cretan Bull,
T96,short story,The Dead Harlequin,
T25,short story,The Disappearance of Mr. Davenheim,
T159,short story,The Double Clue,
T301,short story,The Dream,
T302,short story,The Dressmaker's Doll,
T303,short story,The Edge,
T17,short story,The Erymanthian Boar,
T95,short story,The Face of Helen,
T22,short story,The Flock of Geryon,
T39,short story,The Four Suspects,
T76,short story,The Fourth Man,
T193,short story,The Gate of Baghdad,
T117,short story,The Gentleman Dressed in Newspaper,
T21,short story,The Girdle of Hyppolita,
T148,short story,The Girl in the Train,
T152,short story,The Golden Ball,
T77,short story,The Gypsy (The Gipsy),
T221,short story,The Harlequin Tea Set,
T13,short story,The Herb of Death,
T42,short story,The Horses of Diomedes,
T86,short story,The Hound of Death,
T191,short story,The House at Shiraz,
T305,short story,The House of Dreams,
T63,short story,The House of Lurking Death,
T32,short story,The Idol House of Astarte,
T40,short story,The Jewel Robbery at the Grand Metropolitan,
T118,short story,The Kidnapped Prime Minister,
T162,short story,The King of Clubs,
T78,short story,The Lamp,
T84,short story,The Last Seance,
T307,short story,The Lemesurier Inheritance,
T210,short story,The Lernean Hydra,
T147,short story,The Listerdale Mystery (short story),
T308,short story,The Lonely God,
T49,short story,The Lost Mine,
T207,short story,The Love Detectives,
T93,short story,The Man from the Sea,
T60,short story,The Man in the Mist,
T67,short story,The Man Who Was No. 16,
T149,short story,The Manhood of Edward Robinson,
T170,short story,The Market Basing Mystery,
T119,short story,The Million Dollar Bond Robbery,
T20,short story,The Mystery of Hunter's Lodge,
T204,short story,The Mystery of the Baghdad Chest,
T81,short story,The Mystery of the Blue Jar,
T309,short story,The Mystery of the Spanish Chest,
T46,short story,The Nemean Lion,
T227,short story,The Oracle at Delphi,
T205,short story,The Pearl of Price,
T209,short story,The Plymouth Express,
T153,short story,The Rajah's Emerald,
T310,short story,The Red House,
T75,short story,The Red Signal,
T233,short story,The Regatta Mystery,
T126,short story,The Second Gong,
T89,short story,The Shadow on the Glass,
T91,short story,The Sign in the Sky,
T92,short story,The Soul of the Croupier,
T82,short story,The Strange Case of Sir Arthur Carmichael,
T19,short story,The Stymphalean Birds,
T109,short story,The Submarine Plans,
T62,short story,The Sunningdale Mystery,
T125,short story,The Third Floor Flat,
T12,short story,The Thumb Mark of Saint Peter,
T130,short story,The Tragedy at Marsdon Manor,
T64,short story,The Unbreakable Alibi,
T311,short story,The Under Dog,
T48,short story,The Veiled Lady,
T94,short story,The Voice in the Dark,
T112,short story,The Wife of the Kenite,
T80,short story,The Witness for the Prosecution,
T98,short story,The World's End,
T199,short story,Three Blind Mice,
T176,short story,Triangle at Rhodes,
T104,short story,Wasps' Nest,
T113,short story,While the Light Lasts,
T79,short story,Wireless (Where There's A Will),
T114,short story,Within a Wall,
T218,short story,Yellow Iris,
T160,short story collection,Double Sin and Other Stories,1961
T222,short story collection,Miss Marple's Final Cases,1979
T171,short story collection,Murder in the Mews (collection),1937
T192,short story collection,"Parker Pyne Investigates (Mr. Parker Pyne, Detective)",1934
T53,short story collection,Partners in Crime,1929
T45,short story collection,Poirot Investigates,1924
T156,short story collection,Poirot's Early Cases (Hercule Poirot's Early Cases),1974
T219,short story collection,Problem at Pollensa Bay and Other Stories,1991
T701,short story collection,The Adventure of the Christmas Pudding and a Selection of Entrées,1960
T146,short story collection,The Golden Ball and Other Stories,1971
T220,short story collection,The Harlequin Tea Set and Other Stories,1997
T74,short story collection,The Hound of Death and Other Stories,1933
T05,short story collection,The Labours of Hercules (The Labors of Hercules),1947
T702,short story collection,The Last Seance: Tales of the Supernatural,2019
T155,short story collection,The Listerdale Mystery (short story collection),1934
T68,short story collection,The Mysterious Mr. Quin,1930
T165,short story collection,The Regatta Mystery and Other Stories,1939
T11,short story collection,The Thirteen Problems (The Tuesday Club Murders),1932
T158,short story collection,The Under Dog and Other Stories,1951
T167,short story collection,The Witness for the Prosecution and Other Stories,1948
T166,short story collection,Three Blind Mice and Other Stories,1950
T700,short story collection,While the Light Lasts and Other Stories,1997
